,sentence,head,annotation_type,intensity,polarity,Owen,Amittai,Tyler
845,And I think we have roughly the Darwinian criteria in mind.,we have roughly the Darwinian criteria in mind,sentiment,medium,positive,,,
846,"I certainly want to say yes, without attributing consciousness in any way.",want,sentiment,medium,positive,,,
847,"I certainly want to say yes, without attributing consciousness in any way.",want,sentiment,medium,positive,,,
848,"Each is tentative and incomplete, pointing but not fully adequate.","tentative and incomplete, pointing but not fully adequate",sentiment,medium,positive,,,
849,And I think we have roughly the Darwinian criteria in mind.,we have roughly the Darwinian criteria in mind,sentiment,medium,positive,,,
850,i know but i remember you you talked about something you started off and you said well let me think,know,other_attitude,low,,,,
851,"They will then score one point for
every subsequent issue or broadcast or Internet posting after the first offense
is noted by Chatterbox if they continue not to report said inconvenient
fact--and an additional two points on days when the news organization
runs a follow-up without making note of said inconvenient fact.",inconvenient,sentiment,medium,negative,,,
852,"In short, Fun for Everyone!",Fun for Everyone,sentiment,high,positive,,,
853,"Sincerely,
      Pat Bray Director of Development
      Help Blaze The Trail -- 1997 Jameson Camp Thank you for your last
      Annual Fund Gift!",Sincerely,sentiment,low,positive,,X,
854,"Often it is a long, hard
      struggle, but the results are well worth it.","long, hard
      struggle",sentiment,medium,negative,,,
855,Real people!,Real people!,other_attitude,high,,,,
856,"The piece concluded that she's finally graduated to an image that's
""sophisticated yet soft.","finally graduated to an image that's
""sophisticated yet soft.",arguing,medium,positive,,,
857,"The placement of these two pieces is a PR triumph, but one carrying the
seeds of its own destruction: If people know all this work is going into making
Paula Jones seem a certain someone, doesn't that just make it obvious that
she's really somebody else?","If people know all this work is going into making
Paula Jones seem a certain someone, doesn't that just make it obvious that
she's really somebody else?",arguing,medium,positive,,,
858,"The Wall Street Journal ""Outlook"" observes, ""In the U.S. job
market, the balance of power is shifting to employees from employers,"" and
states that ""the retention frenzy was triggered in part by previous waves of
corporate downsizing,"" which left behind survivors who took stock of career
options and used Internet job listings and intensified recruiting to land
better offers, which in turn led to counter-offers and higher salaries.","the retention frenzy was triggered in part by previous waves of
corporate downsizing,"" which left behind survivors who took stock of career
options and used Internet job listings and intensified recruiting to land
better offers, which in turn led to counter-offers and higher salaries",arguing,medium,positive,,,
859,"The Wall Street Journal ""Outlook"" observes, ""In the U.S. job
market, the balance of power is shifting to employees from employers,"" and
states that ""the retention frenzy was triggered in part by previous waves of
corporate downsizing,"" which left behind survivors who took stock of career
options and used Internet job listings and intensified recruiting to land
better offers, which in turn led to counter-offers and higher salaries.",the balance of power is shifting to employees from employers,arguing,medium,positive,,,
860,"The LAT focuses on new dissension within the Israeli government about
whether or not Israel should continue to maintain forces in southern Lebanon,
dissension fueled when an Israeli commando raid there late last week was
ambushed, with twelve deaths the result.",dissension,arguing,medium,negative,,,
861,"How odd--and a good
illustration of how trying to shoe-horn in a ""witty"" headline can drive you
into an idea that doesn't fit or is undeserved.","trying to shoe-horn in a ""witty"" headline can drive you
into an idea that doesn't fit or is undeserved",arguing,low-medium,positive,,,
862,"Given that Ms. Williams'
parents are rather protective of her and that she is a black in a still
pretty-lilly-white sport, don't be surprised if there's a bit of a complaint
about this.","don't be surprised if there's a bit of a complaint
about this",arguing,low,positive,,,
863,"Doesn't that sound like
celebrating a defeat rather than celebrating a victory?","Doesn't that sound like
celebrating a defeat rather than celebrating a victory?",arguing,medium,positive,,,
864,"This
has led, says the Journal , to annual compensation rising 5-6 percent a
year.","This
has led, says the Journal , to annual compensation rising 5-6 percent a
year.",arguing,medium,positive,,,
865,"The NYT states that when Albright shows up on Tuesday, she will ""read
the riot act"" to Yassir Arafat about cracking down on terrorism.","will ""read
the riot act",intention,high,positive,,,
866,"The LAT focuses on new dissension within the Israeli government about
whether or not Israel should continue to maintain forces in southern Lebanon,
dissension fueled when an Israeli commando raid there late last week was
ambushed, with twelve deaths the result.",dissension,arguing,medium,negative,X,,
867,"Hmmm, wanna bet there was a copy of the book on
somebody's desk at the Times though?","wanna bet there was a copy of the book on
somebody's desk at the Times",arguing,medium,positive,,,
